,star,teff,eteff,logg,elogg,vsini,evsini,rad,prot,smwo,esmwo,logrphk,elogrphk,emission
147,WASP-6,5142.0,116.0,4.44,0.16,2.5,0.3,0.889242,15.060527117282527,0.3751298158772691,0.15084321759398264,-4.559869908496097,0.1654254532524,True
148,WASP-60,6064.0,77.0,4.21,0.03,4.6,0.2,1.448348,13.761188520400012,0.15104233900899916,0.002195515241505054,-4.8755770481884975,0.3788175260546861,False
149,WASP-68,5913.0,23.0,4.09,0.11,2.3,0.4,1.61733,32.41604826201141,0.1240507902842476,0.007610670549365932,-5.119372158411176,0.19306491333832806,False
150,WASP-69,4693.0,150.0,4.46,0.15,3.2,0.3,0.898759,12.02119610412529,0.42499085214616206,0.023080510047713453,-4.691491050559882,0.09000757608038251,True
151,WASP-81,5661.0,38.0,4.14,0.15,0.2,1.2,1.26315,279.30918857962695,0.19368461561235398,0.023981535161160538,-4.775991511398543,0.12435299790170742,False
152,WASP-84,5146.0,150.0,4.53,0.11,3.8,0.2,0.888906,9.411402895076668,0.4566877948855791,0.02662815675305043,-4.454654235432261,0.11858356261853002,True
153,WASP-85A,5564.0,52.0,4.26,0.07,4.0,0.4,1.135493,12.730066369344893,0.28388335206319604,0.029376568176857708,-4.5568258334140745,0.09419001494681428,True
154,WASP-89,4849.0,150.0,4.39,0.11,3.0,0.3,0.955594,13.710152890139277,0.5123941832320315,0.056826379539536356,-4.525690303765101,0.09791343137100675,
155,Wolf503,4690.0,150.0,4.56,0.11,2.8,0.5,0.666388,10.782729417494217,0.3517438826701536,0.008331565888559692,-4.791726064365303,0.10759034688468289,True
156,XO-3,6976.0,194.0,4.25,0.05,19.6,0.3,1.477154,3.2885298128564773,0.2266978253551492,0.0009402639112322023,-4.470084691939577,0.35086121794439484,
157,XO-5,5410.0,83.0,4.32,0.09,2.5,0.3,1.110518,19.489262651577643,0.152662753651692,0.003693664913762165,-5.044620838213809,0.3767575571916264,False
