BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460356.553971,1.00453,0.00241,1.2869,-3.75,0.54,4.95,25562
2460356.554076,1.00169,0.00241,1.2875,-0.83,0.00,6.09,16076
2460356.554181,1.00693,0.00241,1.2881,1.10,-0.70,5.46,21902
2460356.554286,1.00452,0.00241,1.2887,1.33,-0.34,5.48,24357
2460356.554391,0.99946,0.00240,1.2893,1.60,-0.08,5.29,25495
2460356.554496,1.00335,0.00241,1.2899,1.38,-0.15,5.34,25810
2460356.554601,1.00088,0.00240,1.2905,1.84,0.41,4.96,25629
2460356.554706,1.00076,0.00240,1.2911,1.10,-0.43,5.80,20350
2460356.554811,1.00052,0.00240,1.2917,1.04,-1.07,6.14,23635
2460356.554916,1.00266,0.00241,1.2923,2.00,-0.99,5.64,24159
2460356.555022,0.99876,0.00240,1.2929,2.98,-0.55,5.83,22286
2460356.555127,1.00450,0.00241,1.2935,3.60,-0.67,6.15,23153
2460356.555232,1.00016,0.00240,1.2941,3.56,-0.03,5.58,23206
2460356.555337,1.00741,0.00242,1.2947,2.13,-0.00,6.60,17091
2460356.555442,1.00067,0.00241,1.2953,1.00,0.20,5.88,21022
2460356.555548,1.00095,0.00241,1.2959,-0.09,0.56,5.88,18730
2460356.555653,0.99612,0.00240,1.2965,-2.02,0.51,5.66,20412
2460356.555757,0.99871,0.00240,1.2971,-3.53,0.55,5.53,25002
2460356.555863,1.00079,0.00241,1.2977,-5.16,0.94,5.49,23278
2460356.555968,0.99830,0.00241,1.2983,-2.19,-0.41,7.10,15634
2460356.556072,1.00031,0.00241,1.2989,0.43,-0.37,5.46,24802
2460356.556177,1.00589,0.00241,1.2995,1.83,-0.40,5.13,24388
2460356.556283,1.00345,0.00242,1.3002,1.39,0.07,5.61,21769
2460356.556388,1.00055,0.00241,1.3008,0.66,0.52,5.16,22679
2460356.556493,1.00557,0.00242,1.3014,1.00,0.96,5.80,21151
2460356.556598,1.00459,0.00242,1.3020,0.32,-0.47,5.66,20983
2460356.556704,0.99744,0.00240,1.3026,0.66,-0.68,5.30,23302
2460356.556809,1.00487,0.00242,1.3033,1.35,-0.86,5.47,22884
2460356.556914,0.99815,0.00241,1.3039,2.06,-0.89,5.49,22793
2460356.557019,1.00187,0.00241,1.3045,2.62,-0.53,5.83,23551
2460356.557125,1.00030,0.00241,1.3051,2.87,-0.84,5.42,21570
2460356.557230,1.00117,0.00242,1.3058,1.64,-0.41,5.96,18773
2460356.557335,1.00122,0.00241,1.3064,1.18,-0.22,5.48,23365
2460356.557440,0.99932,0.00241,1.3070,0.81,0.33,5.37,25692
2460356.557545,0.99840,0.00241,1.3076,-0.15,0.52,5.40,21583
2460356.557650,0.99821,0.00241,1.3083,-2.18,0.77,5.74,18088
2460356.557755,0.99790,0.00241,1.3089,-3.75,0.64,5.59,21501
2460356.557860,1.00079,0.00242,1.3095,-2.88,0.01,6.11,16375
2460356.557965,0.99986,0.00242,1.3101,-0.93,-0.44,5.56,23247
2460356.558070,0.99806,0.00241,1.3108,0.67,-0.11,5.76,26403
2460356.558175,0.99978,0.00242,1.3114,0.92,-0.05,5.03,25518
2460356.558280,1.00425,0.00242,1.3120,1.03,-0.10,5.74,22242
2460356.558386,1.00200,0.00243,1.3127,1.01,0.69,5.67,19616
2460356.558491,1.00066,0.00242,1.3133,0.42,-0.14,5.54,22374
2460356.558596,1.00474,0.00243,1.3139,0.29,-0.81,5.65,22555
2460356.558701,0.99861,0.00242,1.3146,0.93,-0.54,5.58,23180
2460356.558806,1.00124,0.00243,1.3152,1.72,-0.43,5.54,21446
2460356.558911,1.00016,0.00242,1.3159,2.28,-0.21,5.79,20885
2460356.559016,1.00124,0.00242,1.3164,1.98,0.21,5.36,24843
2460356.559122,0.99782,0.00242,1.3172,0.93,-0.39,6.40,18686
2460356.559227,1.00322,0.00244,1.3178,0.12,-0.54,6.00,18454
2460356.559332,1.00327,0.00243,1.3184,0.70,-0.31,5.65,20799
2460356.559437,1.00287,0.00243,1.3191,0.26,-0.14,5.38,22550
2460356.559542,1.00106,0.00243,1.3197,-1.22,0.10,5.54,22536
2460356.559647,1.00020,0.00243,1.3203,-3.14,-0.04,5.21,21842
2460356.559752,1.00104,0.00243,1.3210,-2.64,-0.15,6.02,19910
2460356.559857,1.00061,0.00242,1.3217,-1.78,-0.06,5.72,21591
2460356.559963,0.99960,0.00242,1.3223,-0.99,-0.10,5.58,23062
2460356.560068,1.00161,0.00243,1.3230,-0.54,0.18,5.27,21710
2460356.560173,0.99754,0.00242,1.3236,-0.35,0.42,5.10,24927
